run num,std dev,max pcr,min pcr,avg pcr,total pcr,num terminal,k,target pcr,canvas size
10,10.857659733368557,54.11247291379976,13.845333289877336,38.90059126435047,1107.9097991379845,10,15,0.0,100
10,10.614222727159207,47.65034116942852,7.229181280166458,32.82794849259964,1405.6601837975809,20,15,0.0,100
10,10.102184845655966,43.520591880627464,5.087222812861009,28.997528131425042,1642.1843758234731,30,15,0.0,100
10,9.34993912821973,39.27346565434731,2.507083171167684,24.62029324475981,1779.6627768514143,40,15,0.0,100
9,8.526271316410206,36.16343002521788,2.0751079748810795,23.75093655607669,2022.5400235120562,50,15,0.0,100
10,52.462381300469914,278.29591106555074,70.7112208969323,214.3781569344415,6154.6789368548225,10,15,0.0,200
10,45.04835592635817,228.23931864450864,51.15439769658583,171.5565960782907,7413.907343687674,20,15,0.0,200
10,47.69859249991111,219.87289529660796,22.722737826833338,148.54641950413253,8486.927113627886,30,15,0.0,200
10,54.93549439137861,238.86158580612056,20.030547348068993,149.5090488305357,10587.334071544436,40,15,0.0,200
9,55.806257259372394,231.99208335792486,9.452338593114954,133.4047325643121,11290.345834409452,50,15,0.0,200
10,160.14758724736566,816.2315618013715,234.9505467909874,623.8618733959178,17912.467331632444,10,15,0.0,300
10,149.0375121156008,720.7086840649182,151.26553243378697,513.6820012231985,21627.927664774517,20,15,0.0,300
10,156.73055306163016,678.9167394630516,105.36522217881566,453.1741502968027,25935.947821433307,30,15,0.0,300
10,134.37988589978022,601.6594038648341,37.021366553171774,379.5392542914684,26687.922857517384,40,15,0.0,300
9,127.57721836053507,547.454547823421,14.134204723511383,325.9188933233456,27606.545367434595,50,15,0.0,300
10,274.66481916900744,1339.3370599726002,342.664584263543,1001.6043263510388,28779.98794907548,10,15,0.0,400
10,292.78037186489695,1390.1548731416,217.40770725758753,1002.5756718195398,41614.170180210036,20,15,0.0,400
10,253.70621666061498,1174.5709730138594,138.7825804773339,806.4804577924976,45814.30362004756,30,15,0.0,400
9,251.5182814555262,1134.0369015652655,108.45041107594949,716.8041703550555,51438.34870006187,40,15,0.0,400
9,247.03043741760433,986.5683677116872,41.399471815896824,601.0812338932615,51427.71856119516,50,15,0.0,400
10,437.5024712361842,2351.1791639294706,756.1302894204679,1775.5247052169464,51179.97777681695,10,15,0.0,500
10,447.47275222617645,2108.028433806049,485.0981984718149,1527.8010815771972,66102.27713368372,20,15,0.0,500
9,435.6863666566267,1980.1657659805069,254.29664742284533,1357.7478345174425,77056.28632221838,30,15,0.0,500
10,443.50588459506923,1861.8000061424486,203.48726162082784,1178.7774356890382,84058.93131104737,40,15,0.0,500
7,429.21438284548606,1678.8261718559054,44.66267562051763,1002.650557104618,85635.33904145661,50,15,0.0,500
10,588.1460864262863,2892.9883744203626,797.3452197767172,2216.005630053169,63228.23459962398,10,15,0.0,600
10,644.8609061260672,3089.615049347017,654.0894718439888,2292.6131066838034,99156.12151560833,20,15,0.0,600
10,709.997525146086,2870.388174724293,281.8546628391003,1899.5488929443632,110446.03215409715,30,15,0.0,600
10,571.5251480806677,2666.9634385894888,329.2383600386214,1727.6233422481957,122620.4367440942,40,15,0.0,600
10,596.0978951634697,2456.8034948076456,85.4426498334537,1419.8347166997494,120249.98850377076,50,15,0.0,600
